Frequency Bin [Hz],x-axis [mg],y-axis [mg],z-axis [mg]
364.227,34.3259,16.2088,13.3469
365.067,29.5566,13.3469,10.4852
365.906,1.907,1.907,1.907
366.745,1.907,1.907,1.907
367.584,5.72099,1.907,2.8605
368.423,2.8605,0,1.907
369.263,1.907,0,0
370.102,2.8605,0,0
370.941,2.8605,0,0
371.78,2.8605,0,0
372.62,1.907,0,0
373.459,0,0,0
374.298,1.907,0,0
375.137,0,0,0
375.977,4.767,0,0
376.816,3.814,0,0
377.655,2.8605,0,0
378.494,2.8605,0,1.907
379.333,1.907,0,0
380.173,2.8605,0,0
381.012,0,0,0
381.851,1.907,0,0
382.69,2.8605,0,0
383.53,3.814,0,0
384.369,1.907,0,0
385.208,2.8605,0,1.907
386.047,2.8605,0,2.8605
386.887,1.907,0,2.8605
387.726,0,0,1.907
388.565,1.907,0,0
389.404,1.907,0,0
390.244,0,0,1.907
391.083,1.907,0,0
391.922,1.907,0,0
392.761,0,0,0
393.6,1.907,0,0
394.44,0,0,0
395.279,1.907,1.907,1.907
396.118,2.8605,0,0
396.957,0,0,0
397.797,0,0,0
398.636,1.907,0,0
399.475,1.907,0,0
400.314,1.907,0,0
401.154,0,0,1.907
401.993,0,0,0
402.832,1.907,1.907,2.8605
403.671,2.8605,1.907,2.8605
404.51,0,0,1.907
405.35,0,0,1.907
406.189,1.907,0,0
407.028,0,0,0
407.867,0,0,1.907
408.707,0,0,0
409.546,0,0,0
410.385,0,0,0
411.224,0,0,0
412.064,0,0,0
412.903,1.907,0,2.8605
413.742,2.8605,0,3.814
414.581,1.907,0,1.907
415.421,0,0,0
416.26,0,0,0
417.099,0,0,0
417.938,0,0,0
418.777,0,0,1.907
419.617,0,0,1.907
420.456,0,0,1.907
421.295,0,0,0
422.134,0,0,3.814
422.974,1.907,0,5.72099
423.813,0,0,2.8605
424.652,1.907,0,3.814
425.491,1.907,0,4.767
426.331,0,0,0
427.17,0,0,1.907
428.009,0,0,1.907
428.848,0,0,0
429.688,0,0,1.907
430.527,1.907,0,1.907
431.366,1.907,0,4.767
432.205,0,0,2.8605
433.044,0,0,1.907
433.884,0,0,3.814
434.723,0,0,2.8605
435.562,0,0,1.907
436.401,0,0,2.8605
437.241,0,0,2.8605
438.08,0,0,1.907
438.919,0,0,0
439.758,0,0,0
440.598,0,1.907,3.814
441.437,0,0,2.8605
442.276,0,1.907,2.8605
443.115,0,0,1.907
443.954,0,0,1.907
444.794,0,1.907,2.8605
445.633,0,0,2.8605
446.472,0,0,0
447.311,0,1.907,4.767
448.151,0,1.907,1.907
448.99,0,0,1.907
449.829,0,0,1.907
450.668,0,1.907,0
451.508,0,0,1.907
452.347,0,0,1.907
453.186,0,2.8605,3.814
454.025,0,2.8605,4.767
454.865,0,1.907,4.767
455.704,0,1.907,1.907
456.543,0,1.907,0
457.382,0,1.907,1.907
458.221,0,0,0
459.061,0,0,0
459.9,0,0,1.907
460.739,0,0,0
461.578,0,1.907,0
462.418,0,0,0
463.257,0,1.907,3.814
464.096,0,1.907,2.8605
464.935,0,0,1.907
465.775,0,1.907,1.907
466.614,0,1.907,0
467.453,0,0,0
468.292,0,1.907,0
469.131,0,2.8605,1.907
469.971,0,0,1.907
470.81,0,1.907,0
471.649,0,1.907,0
472.488,0,1.907,0
473.328,0,0,1.907
474.167,0,0,1.907
475.006,0,0,0
475.845,0,1.907,1.907
476.685,0,4.767,2.8605
477.524,0,2.8605,1.907
478.363,0,1.907,0
479.202,0,0,0
480.042,0,0,0
480.881,0,3.814,1.907
