Time [s],x-axis [g],y-axis [g],z-axis [g]
0.594618,0.116348,1.02615,7.53975
0.594909,-0.0686646,-0.249863,6.37245
0.5952,-0.274658,-2.67983,6.24275
0.595491,-0.488281,0.00190735,2.64168
0.595782,-0.679016,-1.38855,1.78909
0.596073,-0.816345,-0.230789,1.99509
0.596364,-0.875473,3.02124,-3.56865
0.596655,-0.852585,0.34523,-3.21007
0.596945,-0.772476,-2.14195,-5.74494
0.597236,-0.675202,-0.331879,-8.28171
0.597527,-0.612259,0.423431,-8.13103
0.597818,-0.621796,-0.505448,-7.09152
0.598109,-0.719071,2.67983,-8.46863
0.5984,-0.881195,1.18256,-11.9019
0.598691,-1.06239,-1.45149,-8.2264
0.598982,-1.19972,1.90544,-7.08008
0.599273,-1.23215,-1.17683,-7.23457
0.599564,-1.12915,-0.953674,-1.87111
0.599855,-0.892639,2.54631,-2.2068
0.600145,-0.555039,-0.162125,2.65694
0.600436,-0.171661,0.476837,2.22206
0.600727,0.188828,0.709534,3.79944
0.601018,0.476837,0.379562,6.76918
0.601309,0.656128,-0.808716,4.5147
0.6016,0.715256,-1.67847,7.49588
0.601891,0.667572,-0.268936,7.69043
0.602182,0.53978,-1.86729,10.2615
0.602473,0.356674,0.56839,7.27654
0.602764,0.150681,1.80817,7.50542
0.603055,-0.0629425,-1.16539,10.3054
0.603345,-0.263214,-0.535965,3.97492
0.603636,-0.442505,-1.4534,4.49371
0.603927,-0.583649,-1.51444,1.90735
0.604218,-0.673294,0.179291,-0.038147
0.604509,-0.715256,1.84631,0.473023
0.6048,-0.703812,1.52588,-4.32015
0.605091,-0.659943,-2.04849,-6.5918
0.605382,-0.610352,0.389099,-7.0858
0.605673,-0.585556,0.768662,-8.93402
0.605964,-0.619888,-2.14958,-6.53649
0.606255,-0.717163,2.882,-9.18961
0.606545,-0.869751,-0.94986,-10.0098
0.606836,-1.03569,1.09291,-8.08335
0.607127,-1.1692,1.42288,-7.59697
0.607418,-1.21117,-1.15585,-5.1651
0.607709,-1.13106,1.26839,-4.076
0.608,-0.92125,-0.364304,-1.30272
0.608291,-0.608444,-0.286102,-0.0171661
0.608582,-0.247955,1.22261,2.46429
0.608873,0.0972748,0.0190735,4.10271
0.609164,0.370026,1.44005,6.53649
0.609455,0.535965,-0.411987,5.14412
